"","Location","Date","Nesting","FalseCrawls","Total","state"
"382","Lea-Hutaff Island","5/26/2016",0,1,1,"NC"
"383","Masonboro Island","5/26/2016",1,0,1,"NC"
"384","Oak Island","5/26/2016",2,2,4,"NC"
"385","Ocean Isle","5/26/2016",0,5,5,"NC"
"386","Onslow Beach","5/26/2016",0,1,1,"NC"
"387","Topsail Island","5/26/2016",2,2,4,"NC"
"388","Wrightsville Beach","5/26/2016",1,0,1,"NC"
"392","Cape Hatteras NS","5/27/2009",1,2,3,"NC"
"393","Caswell Beach","5/27/2010",1,0,1,"NC"
"394","Fort Fisher SRA","5/27/2010",1,0,1,"NC"
"395","Oak Island","5/27/2010",2,0,2,"NC"
"396","Topsail Island","5/27/2010",0,1,1,"NC"
"397","Bald Head Island","5/27/2011",1,0,1,"NC"
"398","Cape Hatteras NS","5/27/2011",1,0,1,"NC"
"399","Cape Lookout NS","5/27/2011",2,2,4,"NC"
"400","Caswell Beach","5/27/2011",1,0,1,"NC"
"401","Holden Beach","5/27/2011",0,1,1,"NC"
"402","Oak Island","5/27/2011",4,1,5,"NC"
"403","Ocean Isle","5/27/2011",1,0,1,"NC"
"404","Sunset Beach plus Bird Island","5/27/2011",1,0,1,"NC"
"405","Topsail Island","5/27/2011",1,0,1,"NC"
"406","Bald Head Island","5/27/2012",0,2,2,"NC"
"407","Cape Hatteras NS","5/27/2012",2,0,2,"NC"
"408","Cape Lookout NS","5/27/2012",1,2,3,"NC"
"409","Caswell Beach","5/27/2012",1,0,1,"NC"
"410","Fort Macon SP","5/27/2012",1,0,1,"NC"
"411","Holden Beach","5/27/2012",0,1,1,"NC"
"412","NEST (Northern Outer Banks)","5/27/2012",1,1,2,"NC"
"413","Oak Island","5/27/2012",1,1,2,"NC"
"414","Pea Island NWR","5/27/2012",1,0,1,"NC"
"415","Bald Head Island","5/27/2013",0,2,2,"NC"
"416","Caswell Beach","5/27/2013",1,0,1,"NC"
"417","Holden Beach","5/27/2013",0,1,1,"NC"
"418","Oak Island","5/27/2013",0,1,1,"NC"
"419","Wrightsville Beach","5/27/2013",1,0,1,"NC"
"420","Oak Island","5/27/2014",1,2,3,"NC"
"421","Bald Head Island","5/27/2015",2,0,2,"NC"
"422","Cape Hatteras NS","5/27/2015",1,0,1,"NC"
"423","Cape Lookout NS","5/27/2015",2,4,6,"NC"
"424","Caswell Beach","5/27/2015",1,0,1,"NC"
"425","Figure 8 Island","5/27/2015",2,0,2,"NC"
"426","Fort Fisher SRA","5/27/2015",1,0,1,"NC"
"427","Hammocks Beach SP","5/27/2015",0,3,3,"NC"
"428","Holden Beach","5/27/2015",1,0,1,"NC"
"429","Masonboro Island","5/27/2015",1,0,1,"NC"
"430","Oak Island","5/27/2015",1,0,1,"NC"
"431","Pea Island NWR","5/27/2015",1,0,1,"NC"
"432","Sunset Beach plus Bird Island","5/27/2015",1,0,1,"NC"
"433","Topsail Island","5/27/2015",2,1,3,"NC"
"434","Atlantic Beach","5/27/2016",1,0,1,"NC"
"435","Bald Head Island","5/27/2016",1,1,2,"NC"
"436","Cape Lookout NS","5/27/2016",3,1,4,"NC"
"437","Holden Beach","5/27/2016",1,3,4,"NC"
"438","Masonboro Island","5/27/2016",1,0,1,"NC"
"439","Oak Island","5/27/2016",0,1,1,"NC"
"440","Ocean Isle","5/27/2016",2,0,2,"NC"
"441","Onslow Beach","5/27/2016",0,1,1,"NC"
"442","Topsail Island","5/27/2016",1,4,5,"NC"
"449","Cape Lookout NS","5/28/2009",1,0,1,"NC"
"450","Holden Beach","5/28/2009",1,1,2,"NC"
"451","Ocean Isle","5/28/2009",1,0,1,"NC"
"452","Caswell Beach","5/28/2010",1,0,1,"NC"
"453","Fort Fisher SRA","5/28/2010",1,0,1,"NC"
"454","Holden Beach","5/28/2010",0,2,2,"NC"
"455","Oak Island","5/28/2010",1,0,1,"NC"
"456","Ocean Isle","5/28/2010",1,0,1,"NC"
"457","Topsail Island","5/28/2010",1,1,2,"NC"
"458","Bald Head Island","5/28/2011",2,0,2,"NC"
"459","Cape Lookout NS","5/28/2011",1,0,1,"NC"
"460","Masonboro Island","5/28/2011",1,0,1,"NC"
"461","Ocean Isle","5/28/2011",0,1,1,"NC"
"462","Sunset Beach plus Bird Island","5/28/2011",1,0,1,"NC"
"463","Topsail Island","5/28/2011",0,1,1,"NC"
"464","Bald Head Island","5/28/2012",1,1,2,"NC"
"465","Cape Hatteras NS","5/28/2012",2,2,4,"NC"
"466","Cape Lookout NS","5/28/2012",2,3,5,"NC"
"467","Emerald Isle","5/28/2012",1,0,1,"NC"
"468","Holden Beach","5/28/2012",1,0,1,"NC"
"469","Pea Island NWR","5/28/2012",1,0,1,"NC"
"470","Sunset Beach plus Bird Island","5/28/2012",0,1,1,"NC"
"471","Topsail Island","5/28/2012",4,1,5,"NC"
"472","Bald Head Island","5/28/2013",1,5,6,"NC"
"473","Cape Hatteras NS","5/28/2013",0,1,1,"NC"
"474","Holden Beach","5/28/2013",2,0,2,"NC"
"475","Topsail Island","5/28/2013",1,3,4,"NC"
"476","Wrightsville Beach","5/28/2013",1,0,1,"NC"
"477","Cape Hatteras NS","5/28/2014",1,0,1,"NC"
"478","Oak Island","5/28/2014",0,4,4,"NC"
"479","Bald Head Island","5/28/2015",1,1,2,"NC"
"480","Cape Hatteras NS","5/28/2015",1,0,1,"NC"
"481","Cape Lookout NS","5/28/2015",2,3,5,"NC"
"482","Caswell Beach","5/28/2015",4,0,4,"NC"
"483","Fort Fisher SRA","5/28/2015",1,0,1,"NC"
"484","Hammocks Beach SP","5/28/2015",1,0,1,"NC"
"485","Holden Beach","5/28/2015",0,1,1,"NC"
"486","Oak Island","5/28/2015",1,0,1,"NC"
"487","Ocean Isle","5/28/2015",2,0,2,"NC"
"488","Onslow Beach","5/28/2015",1,0,1,"NC"
"489","Pea Island NWR","5/28/2015",1,0,1,"NC"
"490","Cape Hatteras NS","5/28/2016",1,0,1,"NC"
"491","Cape Lookout NS","5/28/2016",2,1,3,"NC"
"492","Caswell Beach","5/28/2016",1,3,4,"NC"
"493","Emerald Isle","5/28/2016",1,0,1,"NC"
"494","Fort Fisher SRA","5/28/2016",0,2,2,"NC"
"495","Masonboro Island","5/28/2016",1,0,1,"NC"
"496","Oak Island","5/28/2016",0,1,1,"NC"
"497","Ocean Isle","5/28/2016",1,0,1,"NC"
"498","Topsail Island","5/28/2016",1,0,1,"NC"
"504","Cape Hatteras NS","5/29/2009",3,0,3,"NC"
"505","Cape Lookout NS","5/29/2009",1,3,4,"NC"
"506","Caswell Beach","5/29/2009",2,0,2,"NC"
"507","Indian Beach/Salter Path","5/29/2009",1,0,1,"NC"
"508","Oak Island","5/29/2009",0,3,3,"NC"
"509","Onslow Beach","5/29/2009",0,1,1,"NC"
"510","Oak Island","5/29/2010",1,0,1,"NC"
"511","Bald Head Island","5/29/2011",1,0,1,"NC"
"512","Cape Hatteras NS","5/29/2011",1,0,1,"NC"
